# Time(s) Range(km)  Vel.(km/s)
   0.000 3071.884259 -6.822630
   1.123 3064.398786 -6.822620
   2.160 3056.913601 -6.822601
   3.283 3049.428172 -6.822572
   4.406 3041.942779 -6.822533
   5.443 3034.457705 -6.822485
   6.566 3026.972690 -6.822427
   7.690 3019.487474 -6.822359
   8.726 3012.002336 -6.822280
   9.850 3004.517561 -6.822192
  10.973 2997.032890 -6.822093
  12.010 2989.548060 -6.821985
  13.133 2982.063356 -6.821865
  14.256 2974.579059 -6.821736
  15.379 2967.094911 -6.821596
  16.416 2959.610651 -6.821445
  17.539 2952.126560 -6.821284
  18.662 2944.642925 -6.821112
  19.699 2937.159484 -6.820929
  20.822 2929.675979 -6.820735
  21.946 2922.192692 -6.820530
  22.982 2914.709907 -6.820314
  24.106 2907.227366 -6.820087
  25.229 2899.744809 -6.819849
  26.352 2892.262518 -6.819599
  27.389 2884.780779 -6.819338
  28.512 2877.299334 -6.819065
  29.635 2869.817921 -6.818781
  30.672 2862.336830 -6.818484
  31.795 2854.856340 -6.818176
  32.918 2847.376194 -6.817856
  33.955 2839.896135 -6.817524
  35.078 2832.416446 -6.817180
  36.202 2824.937413 -6.816824
  37.325 2817.458778 -6.816455
  38.362 2809.980282 -6.816074
  39.485 2802.502213 -6.815680
  40.608 2795.024854 -6.815274
  41.645 2787.547947 -6.814854
  42.768 2780.071236 -6.814422
  43.891 2772.595006 -6.813977
  44.928 2765.119543 -6.813519
  46.051 2757.644590 -6.813047
  47.174 2750.169889 -6.812562
  48.298 2742.695730 -6.812064
  49.334 2735.222395 -6.811552
  50.458 2727.749629 -6.811026
  51.581 2720.277177 -6.810487
  52.618 2712.805324 -6.809933
  53.741 2705.334357 -6.809366
  54.864 2697.864020 -6.808784
  55.901 2690.394057 -6.808188
  57.024 2682.924759 -6.807577
  58.147 2675.456409 -6.806952
  59.270 2667.988480 -6.806312
  60.307 2660.521535 -6.805657
  61.430 2653.055045 -6.804987
  62.554 2645.589569 -6.804302
  63.590 2638.124581 -6.803601
  64.714 2630.660641 -6.802885
  65.837 2623.197227 -6.802154
  66.874 2615.734893 -6.801406
  67.997 2608.273116 -6.800643
  69.120 2600.812458 -6.799864
  70.243 2593.352392 -6.799068
  71.280 2585.893478 -6.798256
  72.403 2578.435192 -6.797428
  73.526 2570.978097 -6.796583
  74.563 2563.521668 -6.795721
  75.686 2556.066464 -6.794842
  76.810 2548.611961 -6.793945
  77.846 2541.158725 -6.793032
  78.970 2533.706229 -6.792100
  80.093 2526.255035 -6.791151
  81.130 2518.804620 -6.790185
  82.253 2511.355547 -6.789200
  83.376 2503.907296 -6.788196
  84.499 2496.460153 -6.787175
  85.536 2489.014413 -6.786134
  86.659 2481.569826 -6.785075
  87.782 2474.126140 -6.783997
  88.819 2466.683646 -6.782899
  89.942 2459.242638 -6.781782
  91.066 2451.802867 -6.780646
  92.102 2444.364085 -6.779489
  93.226 2436.926579 -6.778312
  94.349 2429.490648 -6.777116
  95.472 2422.056041 -6.775898
  96.509 2414.622511 -6.774660
  97.632 2407.190348 -6.773401
  98.755 2399.759850 -6.772121
  99.792 2392.330768 -6.770819
 100.915 2384.902858 -6.769496
 102.038 2377.476408 -6.768151
 103.075 2370.051717 -6.766784
 104.198 2362.628540 -6.765394
 105.322 2355.206629 -6.763982
 106.445 2347.786278 -6.762547
 107.482 2340.367786 -6.761089
 108.605 2332.950905 -6.759608
 109.728 2325.535394 -6.758102
 110.765 2318.121547 -6.756573
 111.888 2310.709660 -6.755020
 113.011 2303.299492 -6.753443
 114.048 2295.890796 -6.751840
 115.171 2288.483874 -6.750213
 116.294 2281.079019 -6.748560
 117.418 2273.675992 -6.746882
 118.454 2266.274552 -6.745177
 119.578 2258.874996 -6.743447
 120.701 2251.477621 -6.741690
 121.738 2244.082190 -6.739906
 122.861 2236.688459 -6.738096
 123.984 2229.296732 -6.736257
 125.021 2221.907305 -6.734391
 126.144 2214.519941 -6.732497
 127.267 2207.134402 -6.730574
 128.390 2199.750988 -6.728623
 129.427 2192.370000 -6.726642
 130.550 2184.991201 -6.724632
 131.674 2177.614354 -6.722592
 132.710 2170.239763 -6.720522
 133.834 2162.867728 -6.718421
 134.957 2155.497745 -6.716290
 135.994 2148.130388 -6.714127
 137.117 2140.765154 -6.711932
 138.240 2133.402612 -6.709705
 139.363 2126.042531 -6.707445
 140.400 2118.684680 -6.705153
 141.523 2111.329362 -6.702827
 142.646 2103.976882 -6.700467
 143.683 2096.626741 -6.698073
 144.806 2089.279515 -6.695645
 145.930 2081.934704 -6.693181
 146.966 2074.592882 -6.690682
 148.090 2067.253822 -6.688147
 149.213 2059.917297 -6.685575
 150.250 2052.583614 -6.682967
 151.373 2045.253079 -6.680321
 152.496 2037.925201 -6.677636
 153.619 2030.600557 -6.674914
 154.656 2023.278654 -6.672153
 155.779 2015.960068 -6.669352
 156.902 2008.644577 -6.666511
 157.939 2001.331959 -6.663630
 159.062 1994.022525 -6.660707
 160.186 1986.716318 -6.657743
 161.222 1979.413653 -6.654737
 162.346 1972.114311 -6.651688
 163.469 1964.818071 -6.648596
 164.592 1957.525514 -6.645460
 165.629 1950.236422 -6.642279
 166.752 1942.950577 -6.639053
 167.875 1935.668297 -6.635781
 168.912 1928.389899 -6.632463
 170.035 1921.114899 -6.629098
 171.158 1913.843618 -6.625686
 172.195 1906.576641 -6.622225
 173.318 1899.312954 -6.618714
 174.442 1892.053413 -6.615155
 175.565 1884.797538 -6.611544
 176.602 1877.545653 -6.607883
 177.725 1870.298079 -6.604169
 178.848 1863.054342 -6.600403
 179.885 1855.814767 -6.596584
 181.008 1848.579677 -6.592710
 182.131 1841.348866 -6.588781
 183.168 1834.122132 -6.584797
 184.291 1826.900064 -6.580756
 185.414 1819.682197 -6.576658
 186.538 1812.469122 -6.572501
 187.574 1805.260375 -6.568286
 188.698 1798.056287 -6.564010
 189.821 1790.857451 -6.559674
 190.858 1783.662878 -6.555276
 191.981 1776.473165 -6.550815
 193.104 1769.288645 -6.546290
 194.141 1762.108860 -6.541701
 195.264 1754.934410 -6.537046
 196.387 1747.764839 -6.532325
 197.510 1740.600486 -6.527536
 198.547 1733.441687 -6.522679
 199.670 1726.288255 -6.517752
 200.794 1719.140005 -6.512754
 201.830 1711.997539 -6.507685
 202.954 1704.860414 -6.502542
 204.077 1697.729233 -6.497325
 205.114 1690.603555 -6.492034
 206.237 1683.483724 -6.486665
 207.360 1676.370347 -6.481220
 208.483 1669.262467 -6.475695
 209.520 1662.160691 -6.470091
 210.643 1655.065370 -6.464405
 211.766 1647.976072 -6.458636
 212.803 1640.893148 -6.452784
 213.926 1633.816952 -6.446846
 215.050 1626.747059 -6.440822
 216.086 1619.684082 -6.434709
 217.210 1612.627860 -6.428508
 218.333 1605.578233 -6.422215
 219.370 1598.535819 -6.415830
 220.493 1591.500204 -6.409351
 221.616 1584.471749 -6.402776
 222.739 1577.450818 -6.396105
